order_no,sale_date,store_name,product_name,total_price
D90057523234907013120,2025-09-08,新天地广场,玫瑰树莓,35.0
D00175739273264188763,2025-09-09,新天地广场,榛子巧克力布朗尼,35.0
D90058264112198189056,2025-09-10,新天地广场,芒果核桃雪花冰,55.0
D90058947507551170560,2025-09-12,新天地广场,芒果核桃雪花冰,55.0
D90058966989300236288,2025-09-12,新天地广场,西西里开心果,58.0
D90058984584707588096,2025-09-12,新天地广场,古早黑芝麻,45.0
D90059016740964282368,2025-09-12,新天地广场,榛子巧克力布朗尼,48.0
D90060826338826268672,2025-09-17,新天地广场,薄荷巧克力脆脆冰,55.0
D90060847050697687040,2025-09-17,新天地广场,古早黑芝麻牛奶冰,55.0
D90061536673690464256,2025-09-19,新天地广场,泰式咸法酪,48.0
D90061574747635814400,2025-09-19,新天地广场,芒果核桃雪花冰,55.0
D90061819543579394048,2025-09-20,新天地广场,芒果核桃雪花冰,55.0
D90061898341352099840,2025-09-20,新天地广场,古早黑芝麻牛奶冰,55.0
D90067364139453526016,2025-10-05,新天地广场,芒果核桃雪花冰,55.0
D90067364325353504768,2025-10-05,新天地广场,榛子巧克力布朗尼,58.0
D90067641757801361408,2025-10-06,新天地广场,糖渍芭乐甜橙冰,55.0
D90070530283798462464,2025-10-14,新天地广场,西西里开心果,45.0
D90070530852369977344,2025-10-14,新天地广场,糖渍芭乐甜橙冰,55.0
D90071720786019946496,2025-10-17,新天地广场,古早黑芝麻牛奶冰,55.0
D90071723857013813248,2025-10-17,新天地广场,西西里开心果,48.0
D90072376176357261312,2025-10-19,新天地广场,华夫蛋筒（单买）,3.0
D90073820575675006976,2025-10-23,新天地广场,玫瑰树莓,35.0
D90073820837407772672,2025-10-23,新天地广场,西班牙蜜瓜,35.0
D00176318582510517603,2025-11-15,新天地广场,玫瑰树莓,-48.0
D00176372820762140014,2025-11-21,新天地广场,榛子巧克力布朗尼,-70.0
D90088616363340939264,2025-12-03,新天地广场,榛子巧克力布朗尼,48.0
D90088616582493204480,2025-12-03,新天地广场,金芒雪芭,48.0
D00176500511984967605,2025-12-06,新天地广场,白色恋人,35.0
D00176501595878878333,2025-12-06,新天地广场,大白兔,35.0
D00176508661781784683,2025-12-07,新天地广场,玫瑰树莓,35.0
D00176510782549248175,2025-12-07,新天地广场,榛子巧克力布朗尼,35.0
D00176510788179549196,2025-12-07,新天地广场,榛子巧克力布朗尼,35.0
D00176510796291242385,2025-12-07,新天地广场,伯爵红茶,35.0
D00176536905365003449,2025-12-10,新天地广场,伯爵红茶,35.0
D00176545623082135291,2025-12-11,新天地广场,苹果派,35.0
D00176545625232074668,2025-12-11,新天地广场,榛子巧克力布朗尼,35.0
D00176545651448921169,2025-12-11,新天地广场,榛子巧克力布朗尼,35.0
D00176561242540407309,2025-12-13,新天地广场,焦糖海盐,35.0
D00176568362074452014,2025-12-14,新天地广场,玫瑰树莓,35.0
D00176569721786695064,2025-12-14,新天地广场,玫瑰树莓,35.0
D00176569919157228267,2025-12-14,新天地广场,临安山核桃,35.0
D00176569930386799651,2025-12-14,新天地广场,苹果派,35.0
D00176569931957689516,2025-12-14,新天地广场,榛子巧克力布朗尼,35.0
D00176571781812529997,2025-12-14,新天地广场,玫瑰树莓,35.0
